consolidated_latitude,consolidated_longitude,cluster
43.929592,4.799193,1
43.929592,4.799193,1
43.930192,4.809387,1
43.935617,4.82072,1
43.936094,4.805081,1
43.936482,4.809693,1
43.937354,4.798628,1
43.939104,4.821433,1
43.940161,4.876349,1
43.940161,4.876349,1
43.942256,4.816939,1
43.942905,4.825062,1
43.943149,4.796952,1
43.943149,4.796952,1
43.946211,4.843686,1
43.946211,4.843686,1
43.947206,4.828155,1
43.949101,4.800516,1
43.949101,4.800516,1
43.952128,4.833258,1
43.952673,4.796913,1
43.952673,4.796913,1
43.953885,4.823253,1
43.953885,4.823253,1
43.765756,5.36349,1
43.940189,4.899412,1
43.942662,4.90471,1
43.942662,4.90471,1
43.82887,5.403812,1
43.948985,4.936124,1
48.822635,2.249932,0
48.827423,2.26765,0
48.786899,2.255335,0
48.798985,2.262841,0
48.798985,2.262841,0
48.85204,2.204549,0
48.85204,2.204549,0
48.838587,2.18696,0
48.83852,2.170362,0
48.838071,2.186172,0
48.838071,2.186172,0
44.534058,6.05266,1
44.535245,6.05242,1
44.9723,6.508846,1
44.977618,6.504843,1
44.981097,6.494755,1
44.975682,6.511263,1
44.985291,6.484044,1
44.975572,6.512036,1
44.965528,6.53236,1
44.945137,6.553298,1
44.94254,6.55517,1
44.944426,6.564575,1
44.944182,6.55876,1
44.94417,6.56661,1
44.943596,6.573981,1
44.94752,6.55689,1
44.945021,6.561003,1
44.94335,6.56471,1
44.94611,6.55748,1
44.94611,6.55748,1
44.941148,6.570186,1
44.229112,5.857196,1
43.696641,7.271867,1
43.696641,7.271867,1
43.696641,7.271867,1
43.696641,7.271867,1
43.696641,7.271867,1
43.696641,7.271867,1
43.696641,7.271867,1
43.722884,7.255704,1
43.722884,7.255704,1
43.722884,7.255704,1
43.722884,7.255704,1
43.722884,7.255704,1
43.722884,7.255704,1
43.696274,7.273936,1
43.696274,7.273936,1
43.696274,7.273936,1
43.696274,7.273936,1
43.696274,7.273936,1
43.696274,7.273936,1
43.692915,7.245781,1
43.692915,7.245781,1
43.692915,7.245781,1
43.692915,7.245781,1
43.692915,7.245781,1
43.692915,7.245781,1
43.692915,7.245781,1
43.692915,7.245781,1
43.692915,7.245781,1
43.695019,7.260114,1
43.695019,7.260114,1
43.695019,7.260114,1
43.695019,7.260114,1
43.695019,7.260114,1
43.697,7.262,1
43.697,7.262,1
43.698197,7.255477,1
43.698197,7.255477,1
43.698197,7.255477,1
43.698197,7.255477,1
43.712817,7.263356,1
43.712817,7.263356,1
43.712817,7.263356,1
43.712817,7.263356,1
43.712817,7.263356,1
43.725364,7.278792,1
43.725364,7.278792,1
43.725364,7.278792,1
43.725364,7.278792,1
43.725364,7.278792,1
43.725364,7.278792,1
43.550341,6.953798,1
43.550341,6.953798,1
43.745681,7.398929,1
42.700658,1.813117,4
42.700658,1.813117,4
42.718977,1.836553,4
42.718977,1.836553,4
42.720301,1.840459,4
42.720301,1.840459,4
42.720228,1.836505,4
42.720228,1.836505,4
42.79691,1.91684,4
42.957455,2.839759,4
